20210608152253.120,40,200,0,0,false,0.0078125
20210608152255.112,40,200,90,227.5,false,1
20210608152256.120,40,200,90,227.5,false,1.01171875
20210608152257.121,40,200,90,326.5,true,1.00390625
20210608152258.121,40,200,90,338,true,1.00390625
20210608152258.286,40,200.5,90,388,true,0.16796875
20210608152258.325,40,203,90,388,true,0.00390625
20210608152258.825,40,285.5,90,388,true,0.00390625
20210608152300.118,40,338,90,388,true,0.00390625
20210608152301.117,40,362.5,90,388,true,0.00390625
20210608152302.053,40,375.5,90,388,false,0.0078125
20210608152302.325,40,388,90,388,false,0.00390625
20210608152302.824,40,388,90,388,false,0.00390625
20210608152303.323,40,388,90,388,false,0.00390625
20210608152303.826,40,388,90,388,false,0.00390625
20210608152304.323,40,388,90,388,false,0.00390625
20210608152304.823,40,388,90,388,false,0.00390625
20210608152305.326,40,388,90,388,false,0.00390625
20210608152305.824,40,323.5,90,388,false,0.00390625
20210608152306.326,40,239.5,90,388,false,0.00390625
20210608152306.823,40,277,90,388,false,0.00390625
20210608152307.325,40,388,90,388,false,0.00390625
20210608152307.826,40,388,90,388,false,0.00390625
20210608152308.323,20,388,90,388,false,0.00390625
20210608152308.827,20,388,90,388,false,0.0078125
20210608152309.323,56,388,90,388,false,0.00390625
20210608152309.825,120,260.5,90,388,false,0.00390625
20210608152310.327,180,245.5,90,388,false,0.0078125
20210608152310.823,240,328,90,388,false,0.00390625
20210608152311.327,272,355.5,90,388,false,0.0078125
20210608152311.825,272,388,90,388,false,0.00390625
20210608152312.323,272,388,90,388,false,0.00390625
20210608152312.824,236,388,90,388,false,0.00390625
20210608152313.330,172,314.5,90,388,false,0.00390625
20210608152313.824,112,239.5,90,388,false,0.00390625
20210608152314.327,52,277,90,388,false,0.00390625
20210608152314.826,20,388,90,388,false,0.00390625
20210608152315.324,48,388,90,388,false,0.00390625
20210608152315.828,108,298,90,388,false,0.00390625
20210608152316.324,172,238,90,388,false,0.00390625
20210608152316.823,232,298,90,388,false,0.00390625
20210608152317.325,252,346,90,388,false,0.00390625
20210608152317.823,252,388,90,388,false,0.00390625
20210608152318.324,264,388,90,388,false,0.00390625
20210608152318.826,272,388,90,388,false,0.00390625
20210608152319.327,272,388,90,388,false,0.0078125
20210608152319.823,272,388,90,388,false,0.00390625
20210608152320.324,272,388,90,388,false,0.00390625
20210608152320.823,280,388,90,388,false,0.00390625
20210608152321.333,280,388,90,388,false,0.00390625
20210608152321.823,280,388,90,388,false,0.00390625
20210608152322.325,280,388,90,388,false,0.00390625
20210608152322.839,280,388,90,388,false,0.00390625
20210608152323.323,280,388,90,388,false,0.00390625
20210608152323.826,280,388,90,388,false,0.00390625
20210608152324.324,280,388,90,388,false,0.00390625
20210608152324.824,280,388,90,388,false,0.00390625
20210608152325.338,220,306,90,388,false,0.00390625
20210608152325.825,160,238.5,90,388,false,0.00390625
20210608152326.324,96,290.5,90,388,false,0.00390625
20210608152326.825,52,359,90,388,false,0.00390625
20210608152327.326,52,388,90,388,false,0.00390625
20210608152327.825,80,353.5,90,388,false,0.00390625
20210608152328.327,140,248.5,90,388,false,0.0078125
20210608152328.827,200,256,90,388,false,0.00390625
20210608152329.325,260,328,90,388,false,0.00390625
20210608152329.823,276,388,90,388,false,0.00390625
20210608152330.323,240,388,90,388,false,0.00390625
20210608152330.824,180,260.5,90,388,false,0.00390625
20210608152331.326,120,245.5,90,388,false,0.00390625
20210608152331.826,60,343,90,388,false,0.00390625
20210608152332.326,12,388,90,388,false,0.00390625
20210608152332.824,56,388,90,388,false,0.00390625
20210608152333.326,116,277,90,388,false,0.00390625
20210608152333.825,176,239.5,90,388,false,0.00390625
20210608152334.326,236,314.5,90,388,false,0.00390625
20210608152334.825,272,350.5,90,388,false,0.00390625
20210608152335.334,212,388,90,388,false,0.00390625
20210608152335.827,152,271,90,388,false,0.00390625
20210608152336.323,88,243,90,388,false,0.00390625
20210608152336.825,28,333,90,388,false,0.00390625
20210608152337.326,76,388,90,388,false,0.00390625
20210608152337.823,136,283.5,90,388,false,0.00390625
20210608152338.323,196,238.5,90,388,false,0.00390625
20210608152338.825,256,306,90,388,false,0.00390625
20210608152339.336,240,388,90,388,false,0.00390625
20210608152339.823,180,306,90,388,false,0.00390625
20210608152340.324,120,238.5,90,388,false,0.00390625
20210608152340.832,60,283.5,90,388,false,0.00390625
20210608152341.324,12,388,90,388,false,0.00390625
20210608152341.827,72,364.5,90,388,false,0.0078125
20210608152342.323,132,252,90,388,false,0.00390625
20210608152342.823,196,256,90,388,false,0.00390625
20210608152343.327,256,328,90,388,false,0.00390625
20210608152343.823,256,380.5,90,388,false,0.00390625
20210608152344.322,196,388,90,388,false,0
20210608152344.825,208,388,90,388,false,0.00390625
20210608152345.332,240,388,90,388,false,0.00390625
20210608152345.826,240,388,90,388,false,0.00390625
20210608152346.327,240,388,90,388,false,0.00390625
20210608152346.827,240,388,90,388,false,0.00390625
20210608152347.323,240,388,90,388,false,0.00390625
20210608152347.823,240,388,90,388,false,0.00390625
20210608152348.327,240,388,90,388,false,0.0078125
20210608152348.827,240,388,90,388,false,0.0078125
20210608152349.324,240,388,90,388,false,0.00390625
20210608152349.824,240,388,90,388,false,0.00390625
20210608152350.326,228,298,90,388,false,0
20210608152350.827,168,238,90,388,false,0.00390625
20210608152351.324,108,290.5,90,388,false,0
20210608152351.825,48,356.5,90,388,false,0
20210608152352.324,32,388,90,388,false,0
20210608152352.825,96,290.5,90,388,false,0
20210608152353.325,156,238,90,388,false,0
20210608152353.825,216,298,90,388,false,0
20210608152354.325,276,333,90,388,false,0
20210608152354.829,252,388,90,388,false,0
20210608152355.325,192,306,90,388,false,0
20210608152355.825,128,238,90,388,false,0
20210608152356.324,68,290.5,90,388,false,0
20210608152356.824,16,388,90,388,false,0
